"Nº pers","Bruto perc"
17,32117.55
10,28974.06
9,9541.06
3,39507.48
2,32753.98
28,31311.13
27,33433.79
21,14386.37
20,14514.78
18,37612.32
33,20676.29
32,17772.56
31,12673.94
30,26896.94
29,56230.78
41,22104.54
40,17813.92
37,44551.13
36,51841.38
34,35114.37
46,22101.85
45,40268.19
44,41012.8
43,28647.8
42,19384.57
54,54442.48
51,28643.33
50,42771.54
49,16756.91
48,25558.95
60,14058.13
59,19734.38
58,40366.26
57,18231.91
56,29845.28
69,20742.39
64,45165.66
63,18059.38
62,21600.12
61,36394.12
76,34572.1
75,17386.62
74,24040.54
72,24914.17
71,35207.77
85,34430.85
83,0
79,19166.85
78,26278.85
77,24546.48
90,34474.86
89,44197.25
88,38535.67
87,18191.58
86,39927.67
96,40348.54
95,18617.07
94,12837.33
93,16513.12
91,37728.39
110,61087.03
108,18010.24
102,30766.95
100,6199.15
97,20053.88
115,22118.64
114,21300.4
113,41007.96
112,33789.09
111,28666.54
120,34765.47
119,29133.95
118,39830.66
117,20437.41
116,12254.39
125,31951.63
124,28532.11
123,20789.26
122,16601.14
121,24010.92
131,24118.29
130,22357.26
129,12905.43
128,24660.26
127,15863.99
140,26975.46
139,25194.71
138,18019.3
137,20313.58
133,8113.97
145,13008.38
144,18650.78
143,35951.63
142,18440.97
141,32561.18
158,16763.02
157,43369.76
156,28842.17
149,13758.79
147,28924.98
163,30657.24
162,18562.18
161,37324.86
160,63931.23
159,18368.07
170,25220.42
167,16488.17
166,12664.42
165,22851.48
164,41896.48
176,26604.07
175,14514.8
174,21260.04
173,21549.86
172,27861.25
188,18271.52
187,38975.63
179,45082.59
178,36212.47
177,28968.07
193,11311.33
192,17032.55
191,16128.5
190,6509.99
189,12008.73
198,42749.52
197,20933.86
196,13886.73
195,33990.52
194,19861.59
204,15456.13
203,25154.01
201,17112.66
200,12438.67
199,15701.46
214,32057.06
213,30090.81
212,26743.76
211,28953.36
208,39684.95
219,43318.4
218,39355.99
217,29687.77
216,37000.36
215,22076.54
224,21061.5
223,27596.85
222,46582.16
221,15670.36
220,44836.47
233,28938.86
232,8963.17
231,21156.91
229,29419.75
226,44007.72
245,17848.44
244,17217.45
243,29147.01
242,39656.65
238,7455.2
250,25646.46
249,38886.66
248,31982.48
247,47014.82
246,34149.06
264,22096.13
263,29820.81
261,21947.83
260,18837.41
259,48013.59
270,15839.46
268,21033.01
267,26037.02
266,28214.4
265,34199.99
281,32523.11
277,15262.27
274,19851.36
273,20484.74
272,21948.7
288,21715.27
286,6411.03
284,33670.72
283,20528.54
282,29606.23
297,35014.89
296,31639.34
291,19398.29
290,21749.54
289,26413.92
305,24767.54
304,25333.55
303,26050.23
301,33864.5
298,38864.64
312,17000.6
310,30821.47
308,20995.16
307,8998.61
306,24686.96
320,18458.87
317,22913.05
316,33640.42
315,46652.08
314,28080.95
329,17663.42
328,24305.83
325,14125.37
323,55582.41
322,25183.49
335,43435.71
334,22396.75
332,18033.6
331,41589.54
330,28882.78
340,8895.01
339,17427.41
338,26916.09
337,14895.74
336,30346.44
345,32150.92
344,19939.55
343,29321.91
342,27417.13
341,18171.78
352,17276.82
351,17781.45
350,12879.7
348,40776.51
347,17456.79
362,20219.42
361,12137.47
360,41587.31
358,33709.95
353,17423.08
368,24444.87
367,34212.67
365,33552.44
364,20460.07
363,35284.83
373,37442.08
372,35654.65
371,15073.99
370,21590.4
369,33763.92
378,12363.9
377,24786.61
376,18280.04
375,23803.89
374,18245.83
384,47324.47
383,25582.75
381,18752.98
380,43221.19
379,16596.76
393,17917.17
389,27826.1
387,21655.52
386,13016.19
385,11980.03
399,15274.11
398,20788.86
396,74990.97
395,20954.24
394,20340.59
407,21447.24
406,6823.08
405,27431.88
401,9742.87
400,6323.48
412,36922.57
411,23887.72
410,2870.41
409,34755.62
408,32626.57
417,23807.7
416,41071.26
415,27608.01
414,21164
413,9538.3
424,17751.31
423,14997.31
422,11568.05
421,2539.44
418,19467.52
431,20886.88
429,7195.88
427,28292.34
426,18948.59
425,11469.93
437,13165.3
436,22048.31
435,7397.51
433,6429.27
432,16549.8
449,28344.84
446,41361.19
445,49468.5
439,15469.41
438,29274.95
454,21766.6
453,11078.83
452,37562.65
451,33345.35
450,35994.64
461,22242.74
459,12241.09
457,16279.05
456,30630.26
455,33969.49
474,19887.79
473,26664.04
472,21607.7
471,26198.93
470,6068.33
480,22625.74
479,15882.01
478,30559.43
476,19902.7
475,38170.61
494,10293.95
493,35585.83
489,24787.47
482,19739.16
481,24047.47
501,13876.14
499,18458.85
498,4390.13
497,31149.25
496,18671.65
509,26050.23
508,33611.38
507,22669.58
505,9760.89
503,16486.16
514,15403.42
513,28767.59
512,28328.23
511,39649.1
510,18125.86
520,23089.69
519,40179.18
518,25588.89
516,22876.29
515,22834.51
525,12940.91
524,46180.24
523,30346.44
522,25451.55
521,20259.79
531,18114.76
530,17377.3
529,27067.97
528,31699.56
526,18952.38
540,26025.95
536,19475.15
534,10376.97
533,30082.83
532,33657.13
547,12493.77
546,9460.33
545,11882.03
544,44882.46
542,21103.5
552,261.79
551,26113.02
550,21778.54
549,31593.21
548,16083.64
557,20226.42
556,57657.54
555,11515.23
554,65035.71
553,19436.24
562,36512.42
561,18924.6
560,39185.28
559,213.78
558,30693.55
567,11799.79
566,7280.94
565,20601.92
564,20657.39
563,212.8
572,30383.8
571,9716.03
570,16694.83
569,17515.87
568,18566.58
581,26352
579,17016.82
578,18604.55
577,33650.59
576,47751.76
586,22670.57
585,26813.18
584,17656.98
583,21569.37
582,13473.56
593,33057.71
590,22540.06
589,11462.7
588,25815.34
587,17171.13
611,18761.77
610,17138.9
608,26025.78
599,34592.83
595,14282.52
618,22364.97
617,35249.04
616,12003.42
614,25347.65
613,15907.93
624,21073.24
623,31307.32
622,27456.8
620,24901.03
619,52337.66
630,20062.19
629,16680.85
628,41200.83
626,26415.35
625,23452.11
635,19292.11
634,19598.06
633,39085.81
632,25877.87
631,48451.45
640,35281.93
639,32523.13
638,36284.78
637,30042.93
636,21860.88
648,22226.57
647,272.37
645,19769.75
643,20491.14
641,31831.33
654,28505.69
653,23321.64
652,20594.09
651,32197.25
650,19208.35
660,19685.96
659,25523.84
658,14441.87
657,12003.42
656,35293.25
666,26278.48
665,20595.57
664,17273.55
663,32084.49
661,7358.51
672,9960.28
671,27043.44
669,22280.42
668,16884.06
667,15799.08
678,13308.35
677,31970.86
676,26841.59
675,11900.97
673,20227
683,45026.28
682,21066.48
681,22396.75
680,25241.82
679,17680.93
689,25802.13
687,34117.61
686,45065.91
685,18608.33
684,15694.25
696,18796.7
694,19555.3
693,11747.39
692,16567.42
691,18253.09
703,11644.95
702,18523.45
700,37724.38
699,24889.05
697,32523.11
711,16728.63
710,30130.58
709,19244.85
708,25134.81
704,17385.85
717,13118.89
715,18280.63
714,6088.38
713,24201.13
712,16112.86
725,36070.38
724,39649.82
723,35581.17
720,22232.39
718,20207.58
731,33158.76
730,29811.57
729,31773.65
728,13727.5
726,29091.49
737,13825.15
736,16616.34
735,26009.01
734,15591.05
732,17908.05
748,37715.35
745,26494.85
744,34983.76
740,57201.97
738,5544.21
754,8155.3
753,14027.87
752,17642.4
750,37332.74
749,21975.37
760,29004.83
759,18020.34
758,19463.08
757,36333.04
756,17551.73
765,33709.96
764,55350.66
763,25392.58
762,22044.47
761,29559.16
772,28309.74
771,29193.57
769,20821.55
767,13214.51
766,20354.53
777,22693.05
776,16174.85
775,21354.57
774,42078.69
773,25780.94
782,19891.12
781,14082.7
780,32306.37
779,25123.27
778,39884.23
790,26602.64
788,36296.85
786,14258.97
784,20204.48
783,35312.27
796,22185.06
795,16588.54
793,30778.24
792,37018.78
791,7600.58
817,38893.78
815,31753.4
802,19638.48
801,25684.43
799,30236.47
822,21870.62
821,36879.92
820,23514.93
819,5040.57
818,22415.17
829,17607.75
828,30128
826,19866.77
825,19635.95
824,25647.54
834,19234.73
833,23964.6
832,31982.48
831,19937.88
830,17692.59
840,13362.33
839,44991.73
838,30834.82
836,63286.76
835,16637.88
845,16160.73
844,16488.98
843,18778.57
842,16093.43
841,18334.45
851,12053.61
850,23208.92
848,46411.5
847,18756.16
846,31713.38
857,12284.63
856,21587.66
855,23939.95
853,28906.21
852,18114.76
865,16579.37
861,17743.54
860,40418.44
859,21614.45
858,30917.12
870,24935.14
869,34112.02
868,18892.7
867,18885.53
866,29595.97
875,20521.24
874,20529.47
873,17339.29
872,27996.78
871,35968.81
883,15581.56
882,30522.93
880,17208.23
879,19058.9
878,14852.9
888,28268.6
887,33675.91
886,17445.73
885,35696.89
884,34261.4
893,17545.21
892,23752.15
891,29682.82
890,14587.14
889,16284.6
899,15087.66
898,15769.75
897,20150.95
895,12846.11
894,26261.57
905,17081.93
903,17297.12
902,21154.09
901,20257.3
900,29669.88
910,30008.17
909,29331.61
908,34631.37
907,11651.42
906,11474.75
916,10596.11
915,21599.14
914,22338.2
912,46907.74
911,27846.08
921,27484.58
920,25023.27
919,22126.16
918,19223.05
917,19014.14
927,17226.89
925,19959.42
924,33365.26
923,17328.35
922,16142.49
974,35585.83
946,37382.54
937,8711.02
932,2072.79
928,19715.85
1033,50190.77
1032,73001.18
1023,31570.38
1019,24744.26
1018,14135.25
1056,29829.33
1053,76801.71
1051,204.28
1048,53906.84
1035,23689.49
1068,7643.84
1064,36523.66
1062,16480.36
1061,248.64
1059,37162.14
1076,27388.12
1075,248.55
1073,27431.88
1072,37860.79
1071,17423.11
1083,32475.19
1081,219.41
1080,2509.15
1079,20108.31
1078,80428.53
1088,31361.29
1087,35825.52
1086,212.65
1085,22243.06
1084,31656.04
1099,24462.79
1098,19087
1096,3270.87
1092,22011.4
1091,2944.32
1105,18458.87
1104,13204.14
1103,24563.99
1101,4442.96
1100,13768.53
1114,22355.88
1113,16531.64
1112,3156.66
1109,33232.59
1107,31203.15
1120,22229.48
1119,21894.56
1118,21929.07
1116,22444.95
1115,26415.86
1125,20329.7
