"Nº pers","Bruto perc"
1124,3517.33
1123,3606.59
1122,4977.65
1121,18194.03
1132,3319.42
1131,7133.61
1130,24936.69
1129,11905.15
1127,10155.13
1138,19334.71
1136,21704.46
1135,26979.65
1134,12726.45
1133,23491.61
1144,15654.81
1143,12363.9
1142,16371.65
1141,9500.42
1140,17102.67
1151,19755.88
1150,14372.91
1149,37304.86
1147,23228.76
1146,19840.34
1158,26964.6
1157,43397
1155,18745.53
1154,19911.61
1152,25471.68
1164,34497.28
1163,27675.8
1162,26722.3
1160,16557.45
1159,15653.75
1172,20253.17
1171,25613.99
1170,18021.35
1169,36449.82
1165,18672.83
1178,19346.56
1177,17686.01
1175,20043.33
1174,14191.52
1173,22554.3
1185,31589.6
1184,19972.64
1183,40904.88
1182,15177.89
1181,17115.86
1193,19871.97
1191,31148.88
1189,38751.03
1188,18061.73
1186,18000.7
1198,24888.86
1197,15400.68
1196,12019.03
1195,18159.23
1194,21502.79
1203,34455.33
1202,19825.56
1201,17815.44
1200,0
1199,22534.94
1208,18645.74
1207,14242.54
1206,18606.49
1205,11758.62
1204,21682
1213,25487.29
1212,27208.38
1211,33888.79
1210,48791.2
1209,19426.49
1220,53548.12
1219,18395.05
1218,57450.39
1217,19503.26
1216,15873.04
1226,19063.52
1225,12363.9
1224,35457.28
1223,19985.45
1222,14823.51
1232,23954.17
1231,19431.53
1230,13601.13
1228,11980.03
1227,31343.21
1238,22071.76
1237,8930.23
1236,25256.04
1235,16297.96
1233,29422.08
1243,27239.73
1242,17656.98
1241,18351.02
1240,18796.04
1239,32521.26
1248,17876.84
1247,24889.72
1246,24066.6
1245,20922.76
1244,21739.17
1254,23174.72
1253,21710.84
1252,16198.56
1251,23073.34
1249,30226.5
1259,25116.34
1258,16976.01
1257,37078.76
1256,20615.49
1255,7279.91
1265,27711.77
1263,40216.67
1262,16369.56
1261,37239.28
1260,24478.87
1270,28223.89
1269,17958.18
1268,20497.13
1267,21460.64
1266,12750.37
1277,38604
1276,11205.78
1275,17927.34
1273,13016.19
1272,18031.9
1282,33292.93
1281,24298.17
1280,20984.83
1279,21899.12
1278,37444.25
1288,19935.29
1287,28688.53
1286,46208.3
1285,18221.57
1283,33194.51
1294,15159.51
1293,27495.64
1292,24014.4
1290,15274.11
1289,20094.59
1300,20693.06
1299,29702.61
1298,17900.16
1297,19561.32
1296,15908.74
1306,35449.05
1305,21046.48
1304,16286.4
1303,15533.32
1302,21025.52
1311,58222.38
1310,17853.13
1309,27604.74
1308,20818.46
1307,17589.29
1317,16707.26
1316,22322.94
1315,22915.19
1313,86301.43
1312,39207.2
1324,6273.68
1323,37623.37
1322,14143.58
1320,38753.34
1319,25867.72
1329,28040.72
1328,0
1327,11522.09
1326,33474.94
1325,34646.98
1334,22073.39
1333,21448.65
1332,15206.42
1331,15817.81
1330,15570.06
1339,13991.15
1338,30888.09
1337,16443.56
1336,16970.84
1335,27857.03
1346,10255.62
1344,15353.24
1343,11642.94
1341,17962.86
1340,17498.85
1351,32810.75
1350,24507.7
1349,15070.42
1348,16241.41
1347,16198.58
1357,22761.09
1356,28328.27
1354,24768.99
1353,12724.38
1352,17802.86
1363,21321.67
1361,10579.55
1360,40635.79
1359,38227.25
1358,16529.08
1368,25132.13
1367,21579.42
1366,20306.17
1365,40236.32
1364,52604.76
1374,39107.24
1373,33343.4
1371,16953.96
1370,14360.88
1369,23705.46
1379,28692.89
1378,21153.53
1377,19443.82
1376,38945.84
1375,17208.23
1384,18328.32
1383,37223.02
1382,14630.66
1381,25702.02
1380,17878.11
1390,33026.16
1389,18215.17
1388,21582.16
1387,25562.8
1386,11259.07
1395,16988.14
1394,18510.39
1393,15580
1392,20562.72
1391,22446.2
1402,35221.6
1401,32194.43
1399,17564.72
1398,14929.07
1397,25332.75
1408,26316.83
1407,14649.07
1406,4767.68
1404,17494.05
1403,27462.86
1414,17396.23
1413,12126.52
1412,37787.08
1411,35731.06
1410,14929.07
1419,34711.72
1418,19061.03
1417,21640.31
1416,22468.14
1415,27530.24
1426,18468.06
1425,30346.44
1423,22833.35
1422,33571.96
1421,10113.71
1431,14574.12
1430,18861.42
1429,6450.03
1428,21102.23
1427,12003.42
1436,16734.91
1435,22834.51
1434,14651.84
1433,29881.88
1432,31227.18
1443,23994.92
1442,20991.56
1441,11873.4
1440,14477.72
1437,26978.12
1449,16291.12
1448,16302.06
1446,26371.96
1445,16827.09
1444,4793.74
1455,34284.11
1454,32695.11
1452,23081.54
1451,22143.35
1450,36806.69
1461,37636.56
1460,36603.85
1459,29272.1
1457,14712.11
1456,6830.5
1467,21133.86
1466,37800.8
1464,32220.51
1463,33123.16
1462,29076.77
1472,17133.56
1471,24025.83
1470,12769.62
1469,21317.23
1468,23706.76
1477,18669.2
1476,45054.31
1475,33284.29
1474,15360.36
1473,34871.78
1482,25122.84
1481,22216.68
1480,16582.19
1479,20614.36
1478,17671.95
1487,14793.31
1486,11587.86
1485,22542.04
1484,25928.17
1483,32875.88
1493,32202.54
1491,10672.02
1490,23836.51
1489,16434.43
1488,31447.28
1498,18726.75
1497,9603.89
1496,31438.3
1495,14911.95
1494,16309.95
1504,20260.25
1503,17643.08
1502,37818.8
1500,22280.37
1499,18195.51
1511,38734.01
1510,42965.91
1509,20651.5
1506,26987.45
1505,39361.01
1518,15970.11
1517,31305.92
1515,11259.07
1513,21389.63
1512,29073.15
1523,37729.13
1522,24590.04
1521,9601.63
1520,16325.66
1519,17105.49
1528,14372.91
1527,16132.92
1526,17682.43
1525,23062.51
1524,31410.24
1534,20078.11
1533,17404.2
1532,38754.94
1530,16930.68
1529,17733.69
1539,22337.32
1538,27649.45
1537,16223.7
1536,23189.39
1535,32544.8
1546,12062.56
1545,14894.07
1544,25087.76
1542,15552.89
1540,16796.59
1553,9460.33
1552,18611.07
1551,24563.99
1549,21754.77
1548,18321.66
1558,18730.05
1557,20671.61
1556,27446.42
1555,18330.11
1554,19621.95
1563,18242.29
1562,29611.13
1561,37818.43
1560,17321.87
1559,21568.91
1568,23632.12
1567,32585.43
1566,27326.13
1565,36578.1
1564,4214.54
1573,21320.02
1572,19556.74
1571,39964.25
1570,27856.57
1569,26512.09
1578,27189.75
1577,36932.78
1576,24114.13
1575,22294.05
1574,17645.54
1583,20141.48
1582,19942.61
1581,16210.62
1580,16221.71
1579,35068.68
1588,18357.49
1587,26497.35
1586,20571.07
1585,25618.91
1584,20998.87
1594,27826.1
1593,17644.5
1591,19236.57
1590,16389.14
1589,39117.62
1599,17927.34
1598,31305.89
1597,20185.16
1596,16836.44
1595,20424.38
1605,11368.97
1603,18101.21
1602,14161.3
1601,23723.96
1600,31028.72
1612,8753.74
1610,19649.63
1609,21204.46
1608,21270.09
1607,30933.06
1618,23056.2
1617,12250.11
1616,18086.32
1614,20124.65
1613,15588.43
1624,10119.76
1623,23175.01
1622,16473.92
1621,13574.96
1619,15193.68
1629,11734.95
1628,12003.42
1627,24736.95
1626,35113.39
1625,19747.27
1634,17922.38
1633,29609
1632,17007.96
1631,15529.11
1630,11662.05
1640,22399.36
1638,35281.93
1637,23645.39
1636,29791.34
1635,22175.07
1646,20412.1
1644,32833.21
1643,28217.06
1642,38861.53
1641,26504.29
1651,17605.21
1650,32018.55
1649,29254.66
1648,32523.11
1647,25861.98
1657,7047.66
1656,19485.12
1655,30967.65
1653,38177.46
1652,26369.78
1662,16198.53
1661,18515.58
1660,17749.57
1659,16872.24
1658,19308.9
1667,11129.91
1666,19492.72
1665,21184.7
1664,17116.26
1663,25778.02
1672,14393.42
1671,21416.43
1670,26940.05
1669,12576.61
1668,34461.61
1678,20265.39
1677,21541.46
1676,17622.03
1675,8381.58
1674,21952.88
1683,29612.54
1682,21056.64
1681,20207.13
1680,29836.73
1679,11838.92
1688,29698.57
1687,16038.76
1686,22263.89
1685,16617.31
1684,19756.46
1693,21115.02
1692,29731.2
1691,14744.64
1690,19727.9
1689,14988.86
1698,18236.16
1697,17846.54
1696,15785.05
1695,17182.99
1694,13674.62
1703,23349.22
1702,21944.11
1701,17515.7
1700,19262.04
1699,25130.17
1708,32356.84
1707,42002.13
1706,17060.91
1705,19676.53
1704,15619.83
1714,21174.33
1712,30967.65
1711,12295.09
1710,38618.92
1709,17761.01
1719,17494.06
1718,27228.01
1717,17062.03
1716,15833.07
1715,10579.55
1724,12363.9
1723,15186.53
1722,16195.23
1721,20690.72
1720,17031.25
1731,13135.45
1730,31801.54
1729,8664.98
1727,28475.07
1726,25679.1
1737,15236.07
1735,25345.71
1734,31144.8
1733,14564.35
1732,17985.96
1743,23694.06
1742,33605.22
1741,19650.19
1740,33904.61
1738,8548.44
1751,17961.43
1749,22904.57
1748,15831.78
1746,16486.34
1744,17692.63
1756,16018.06
1755,11478.25
1754,21154.09
1753,22210.23
1752,76329.46
1761,18115.5
1760,36236.14
1759,24712.2
1758,20015.55
1757,19450.06
1768,17974.82
1767,15340.91
1765,17830.9
1764,33919.31
1762,21908.11
1774,2297.24
1773,59919.76
1772,21697.05
1771,28845.99
1769,31064.45
1779,19009.12
1778,15264.95
1777,15610.31
1776,62639.47
1775,26628.15
1785,20048.88
1784,16701.35
1783,12029.15
1781,30334.95
1780,8026.4
1791,16279.74
1790,32695.11
1789,18551.92
1787,27474.44
1786,19639.47
1798,32356.84
1797,20997.52
1795,31449.67
1794,12192.29
1793,32122.87
1803,21209.85
1802,18665.93
1801,17606.99
1800,26660.71
1799,16719.2
1808,12362.3
1807,32695.11
1806,33683.95
1805,16400.54
1804,35644.39
1813,30910.2
1812,18241.37
1811,16221.71
1810,8127.47
1809,21847.94
1819,13276.79
1818,20426.45
1816,30008.17
1815,14965.38
1814,18372.47
1824,30061.53
1823,15262.29
1822,21894.56
1821,35023.52
1820,21406.56
1836,70336.97
1829,12837.36
1828,12516.69
1827,17753.9
1826,18222.62
1881,13206.4
1879,26591.38
1872,25904.61
1854,22886.47
1845,38632.99
1889,2586.47
1888,3188.45
1885,35585.83
1883,27107.02
1882,216.03
1894,282.15
1893,2976.32
1892,22356.19
1891,25260.86
1890,59824.5
1902,15811.34
1900,22552.47
1898,31031.76
1897,11642.94
1895,266.57
1907,248.64
1906,37968.3
1905,11724.91
1904,10696.37
1903,276.87
1914,210.4
1912,210.4
1911,276.51
1909,252.72
1908,16016.97
1920,34643.91
1918,27915.49
1917,31265.98
1916,265.41
1915,212.65
1930,32880.44
1925,2586.48
1923,17294.69
1922,16164.74
1921,35732.59
1938,34425.6
1935,25333
1934,33946.68
1933,20993.49
1932,13281.63
1945,6033.04
1944,3667.08
1942,12003.42
1941,3571.39
1939,25016.89
1950,21907.76
1949,278.85
1948,33750.64
1947,63487.85
1946,207.66
1955,6425.26
1954,18537.34
1953,39279.18
1952,216.03
1951,308.18
1962,27377.57
1961,3034.71
1960,63508.31
1959,40670.67
1958,24700.78
1967,12052.62
1966,9015.61
1965,18053.16
1964,19602.49
1963,29896.19
1973,18894.97
1972,19025.12
1971,3252.51
1970,18438.53
1969,16006.86
1979,36676.84
1978,27132.57
1977,16426.31
1975,64855.11
1974,15038.38
1986,32442.15
1985,21232.13
1983,13016.16
1982,24423.98
1981,34994.28
1993,19523.93
1992,22530.86
1991,16475.38
1988,65317.76
1987,69302.68
2000,25247.37
1998,19846.45
1997,13750.14
1996,11259.07
1995,20100.15
2006,20506.33
2005,28440.48
2004,20012.61
2002,18969.85
2001,59260.86
2012,14800.1
2010,20344.5
2009,16382.64
2008,42222.88
2007,17927.34
2018,11564.57
2016,7904.98
2015,18530.16
2014,14712.11
2013,39999.37
2023,26855.79
2022,39423.76
2021,21297.79
2020,25538.57
2019,20067.55
2028,12940.72
2027,31753.37
2026,17472
2025,21615.71
2024,29467.59
2033,32084.49
2032,13089.18
2031,61801.39
2030,18717.44
2029,24839.28
2038,16789.43
2037,12582.65
2036,19722.96
2035,17657.8
2034,25243.39
2043,22674.34
2042,14814.03
2041,62230.18
2040,23904.63
2039,9280.09
2050,16142.59
2049,28137.06
2048,28601.04
2045,15903.78
2044,30754.42
2057,21187.18
2055,28271.43
2054,17091.9
2053,53247.76
2051,10717.29
2064,36926.83
2063,20518.57
2062,25513.16
2061,12003.42
2059,16811.84
2072,27753.65
2071,19075.97
2070,15592.65
2067,30612.08
2065,19348.07
2077,18280.04
2076,33733.19
2075,26480.2
2074,18820.58
2073,31343.25
2082,48449.65
2081,31339.32
2080,25703.91
2079,18387.26
2078,17659.73
2087,15257.03
2086,35366.27
2085,27847.91
2084,18280.04
2083,18404.74
2093,12012.85
2092,13188.62
2091,34048.23
2089,20922.62
2088,17294.69
2098,17962.91
2097,18280.04
2096,10534.96
2095,12113.13
2094,30346.44
2105,22529.88
2104,16907.46
2103,15445.51
2102,17571.66
2100,24633
2110,30418.34
2109,25095.44
2108,18370.45
2107,14979.95
2106,32163.57
2116,16773.99
2115,24057.2
2114,37999.66
2112,9083.58
2111,35145.95
2121,17155.61
2120,73259.69
2119,37185.04
2118,18280.04
2117,47474.93
2126,12003.42
2125,25425.95
2124,18418.83
2123,11357.34
2122,18280.04
2131,31361.29
2130,18693.74
2129,43791.77
2128,15152.31
2127,23013.34
2136,17265.66
2135,37746.14
2134,27603.46
2133,19327.56
2132,19237.42
2142,18093.07
2141,38945.84
2140,18728.6
2139,17671.95
2137,21351.02
2149,11823.18
2148,14351.63
2147,15753.2
2146,11078.83
2145,35573.59
2158,12160.27
2157,44666.18
2153,28238.74
2152,18616.02
2151,23814.16
2163,14010.79
2162,35306.34
2161,35921.92
2160,15510.72
2159,20297.9
2169,21463.63
2168,22430.12
2167,21418.93
2166,19577.63
2165,43001.97
2175,21598.13
2174,12160.27
2173,34704.29
2171,31527.45
2170,11643.71
2180,22662.31
2179,16597.16
2178,30492.76
2177,20812.55
2176,30665.01
2187,32196.42
2186,18031.4
2184,15554.19
2183,29542.9
2182,17601.04
2192,21929.07
2191,26295.56
2190,19293.43
2189,15810.41
2188,16752.15
2200,12658.53
2198,17925.98
2197,28836.21
2196,26586.8
2193,19988.01
2205,32293.67
2204,16436.3
2203,14372.91
2202,18101.21
2201,36016.95
2210,28425.72
2209,36606.39
2208,15164.44
2207,18147.27
2206,7532.84
2216,22328.38
2215,17743.55
2213,19258.4
2212,24263.64
2211,19756.46
2221,20355.73
2220,17743.55
2219,16367.37
2218,16437.9
2217,42177.99
2226,17251.96
2225,26809.29
2224,25249.48
2223,14906.7
2222,21529.33
2232,12819.46
2231,21111.25
2229,13820.54
2228,8762.55
2227,21710.1
2237,11731.42
2236,26934.94
2235,16776.26
2234,14147.58
2233,14767.2
2243,17743.55
2242,20158.25
2241,31633.44
2239,15566.4
2238,27025.53
2250,20717.11
2249,20741.55
2248,15179.23
2246,26882.76
2244,18036.16
2256,15526.03
2255,15722.42
2254,37804.92
2253,21453.62
2251,18289.66
2262,24658.18
2260,26975.38
2259,36939.62
2258,15081.63
2257,30036.38
2268,31139.17
2266,19711.85
2265,30095.35
2264,34411.95
2263,14598.2
2273,16835.97
2272,15486.52
2271,36785.39
2270,19529.27
2269,22852.94
2279,39575.86
2277,18623.8
2276,12547.3
2275,23776.25
2274,32882.54
2286,12438.78
2284,17571.16
2283,30817.85
2281,33780.94
2280,16235.5
2292,11470.46
2291,17671.91
2290,26132.44
2289,12059.9
2287,34273.81
2297,26568.85
2296,21132.82
2295,24919.1
2294,14575.17
2293,18019.93
2303,20004.01
2302,36143.55
2301,31343.25
2300,28776.42
2298,32848.49
2308,14531.87
2307,31270.4
2306,5555.7
2305,11462.7
2304,18127.32
2313,28822.78
2312,18746.05
2311,33909.05
2310,14740.11
2309,13929.86
2319,16884.09
2317,36699.16
2316,29669.88
2315,16058.01
2314,38535.67
2325,29973.74
2324,19619.31
2323,20670.45
2322,18544.31
2321,6182.39
2331,13824.84
2330,36946.39
2329,10677.82
2328,16290.42
2326,17743.55
2338,14907.51
2337,29208.41
2336,30123.48
2334,34693.46
2333,54798.55
2343,32751.25
2342,13974.63
2341,17958.18
2340,30830.81
2339,17600.52
2348,17567.72
2347,14709.76
2346,25051.98
2345,36796.55
2344,14773.33
2353,17142.53
2352,22027.61
2351,12837.33
2350,10428.94
2349,17963.07
2359,29372.19
2358,21127.36
2357,26005.59
2355,19063.46
2354,30305.19
2365,41275.51
2364,18077.64
2363,12440.7
2361,21767.77
2360,23285.14
2371,46490.5
2370,13050.27
2369,35964.02
2368,25696.38
2366,40425.83
2376,27268.15
2375,42467.23
2374,38795.59
2373,19861.4
2372,37003.66
2383,13702.11
2382,17954.01
2380,15215.94
2379,10504.96
2377,26120.66
2388,68036.86
2387,16949.93
2386,23725.9
2385,37489.31
2384,37344.79
2394,7563.57
2392,19682.47
2391,15584.52
2390,24414.83
2389,20516.14
2400,37715.35
2399,23383.77
2397,8079.54
2396,34117.61
2395,24773.55
2405,36719.93
2404,20344.47
2403,26733.68
2402,19292.81
2401,25247.46
2412,26893.01
2411,15347.06
2410,25744.81
2408,25797.73
2406,7196.77
2418,14670.83
2417,20181.31
2416,19463.16
2415,19239.59
2413,17203.49
2423,18025.34
2422,4903.83
2421,23843.64
2420,16291.12
2419,21287.76
2428,7267.32
2427,12497.26
2426,13251.78
2425,25011.35
2424,17478.57
2434,24334.53
2432,62358.47
2431,17564.72
2430,24625.2
2429,17733.58
2439,47606.73
2438,20912.76
2437,25013.29
2436,55760.04
2435,14800.1
2444,13487.9
2443,20754.31
2442,14598.2
2441,21160.59
2440,17160.97
2450,19753.35
2449,15566.39
2448,20205.06
2447,21653.62
2445,25146.91
2456,16446.39
2455,11724.91
2453,37806.78
2452,14614.96
2451,18386.82
2462,21310.05
2461,15976.58
2459,20775.06
2458,21957.8
2457,25513.41
2467,47751.56
2466,37186.91
2465,17927.34
2464,22669.18
2463,19332.97
2472,25760.02
2471,29834.95
2470,29661.78
2469,15357.5
2468,19149.41
2478,15537.07
