name,district,province
Salvatierra de Esca,La Jacetania,Zaragoza
Santa Cilia,La Jacetania,Huesca
Santa Cruz de la Serós,La Jacetania,Huesca
Sigüés,La Jacetania,Zaragoza
Valle de Hecho,La Jacetania,Huesca
Villanúa,La Jacetania,Huesca
Albelda,La Litera / La Llitera,Huesca
Alcampell,La Litera / La Llitera,Huesca
Altorricón,La Litera / La Llitera,Huesca
Azanuy-Alins,La Litera / La Llitera,Huesca
Baells,La Litera / La Llitera,
Baldellou,La Litera / La Llitera,Huesca
Binéfar,La Litera / La Llitera,Huesca
Camporrells,La Litera / La Llitera,
Castillonroy,La Litera / La Llitera,Huesca
Esplús,La Litera / La Llitera,Huesca
Peralta de Calasanz,La Litera / La Llitera,Huesca
San Esteban de Litera,La Litera / La Llitera,Huesca
Tamarite de Litera,La Litera / La Llitera,Huesca
Vencillón,La Litera / La Llitera,Huesca
Arén,La Ribagorza,Huesca
Benabarre,La Ribagorza,Huesca
Benasque,La Ribagorza,Huesca
Bisaurri,La Ribagorza,Huesca
Bonansa,La Ribagorza,Huesca
Campo,La Ribagorza,Huesca
Capella,La Ribagorza,Huesca
Castejón de Sos,La Ribagorza,Huesca
Castigaleu,La Ribagorza,Huesca
Chía,La Ribagorza,Huesca
Estopiñán del Castillo,La Ribagorza,Huesca
Foradada del Toscar,La Ribagorza,Huesca
Graus,La Ribagorza,Huesca
Isábena,La Ribagorza,Huesca
Lascuarre,La Ribagorza,Huesca
Laspaúles,La Ribagorza,Huesca
Monesma y Cajigar,La Ribagorza,Huesca
Montanuy,La Ribagorza,Huesca
Perarrúa,La Ribagorza,Huesca
La Puebla de Castro,La Ribagorza,Huesca
Puente de Montañana,La Ribagorza,Huesca
Sahún,La Ribagorza,Huesca
Santaliestra y San Quílez,La Ribagorza,Huesca
Secastilla,La Ribagorza,Huesca
Seira,La Ribagorza,Huesca
Sesué,La Ribagorza,Huesca
Sopeira,La Ribagorza,Huesca
Tolva,La Ribagorza,Huesca
Torre la Ribera,La Ribagorza,Huesca
Valle de Bardají,La Ribagorza,Huesca
Valle de Lierp,La Ribagorza,Huesca
Veracruz,La Ribagorza,Huesca
Viacamp y Litera,La Ribagorza,Huesca
Villanova,La Ribagorza,Huesca
Albalatillo,Los Monegros,Huesca
Albero Bajo,Los Monegros,Huesca
Alberuela de Tubo,Los Monegros,Huesca
Alcubierre,Los Monegros,Huesca
La Almolda,Los Monegros,Zaragoza
Almuniente,Los Monegros,Huesca
Barbués,Los Monegros,Huesca
Bujaraloz,Los Monegros,Zaragoza
Capdesaso,Los Monegros,Huesca
Castejón de Monegros,Los Monegros,Huesca
Castelflorite,Los Monegros,Huesca
Farlete,Los Monegros,Zaragoza
Grañén,Los Monegros,Huesca
Huerto,Los Monegros,Huesca
Lalueza,Los Monegros,Huesca
Lanaja,Los Monegros,Huesca
Leciñena,Los Monegros,Zaragoza
Monegrillo,Los Monegros,Zaragoza
Perdiguera,Los Monegros,Zaragoza
Peñalba,Los Monegros,Huesca
Poleñino,Los Monegros,Huesca
Robres,Los Monegros,Huesca
Sangarrén,Los Monegros,Huesca
Sariñena,Los Monegros,Huesca
Sena,Los Monegros,Huesca
Senés de Alcubierre,Los Monegros,Huesca
Tardienta,Los Monegros,Huesca
Torralba de Aragón,Los Monegros,Huesca
Torres de Barbués,Los Monegros,Huesca
Valfarta,Los Monegros,Huesca
Villanueva de Sigena,Los Monegros,Huesca
Abizanda,Sobrarbe,Huesca
Aínsa-Sobrarbe,Sobrarbe,Huesca
Bielsa,Sobrarbe,Huesca
Boltaña,Sobrarbe,Huesca
Broto,Sobrarbe,Huesca
Bárcabo,Sobrarbe,Huesca
Fanlo,Sobrarbe,Huesca
Fiscal,Sobrarbe,Huesca
La Fueva,Sobrarbe,Huesca
Gistaín,Sobrarbe,Huesca
Labuerda,Sobrarbe,Huesca
Laspuña,Sobrarbe,Huesca
Palo,Sobrarbe,Huesca
Plan,Sobrarbe,Huesca
El Pueyo de Araguás,Sobrarbe,Huesca
Puértolas,Sobrarbe,Huesca
San Juan de Plan,Sobrarbe,Huesca
Tella-Sin,Sobrarbe,Huesca
Torla,Sobrarbe,Huesca
Abiego,Somontano de Barbastro,Huesca
Adahuesca,Somontano de Barbastro,Huesca
Alquézar,Somontano de Barbastro,Huesca
Azara,Somontano de Barbastro,Huesca
Azlor,Somontano de Barbastro,Huesca
Barbastro,Somontano de Barbastro,Huesca
Barbuñales,Somontano de Barbastro,Huesca
Berbegal,Somontano de Barbastro,Huesca
Bierge,Somontano de Barbastro,Huesca
Castejón del Puente,Somontano de Barbastro,Huesca
Castillazuelo,Somontano de Barbastro,Huesca
Colungo,Somontano de Barbastro,Huesca
Estada,Somontano de Barbastro,Huesca
Estadilla,Somontano de Barbastro,Huesca
El Grado,Somontano de Barbastro,Huesca
Hoz y Costeán,Somontano de Barbastro,
Ilche,Somontano de Barbastro,Huesca
Laluenga,Somontano de Barbastro,Huesca
Laperdiguera,Somontano de Barbastro,Huesca
Lascellas-Ponzano,Somontano de Barbastro,Huesca
Naval,Somontano de Barbastro,Huesca
Olvena,Somontano de Barbastro,Huesca
Peralta de Alcofea,Somontano de Barbastro,Huesca
Peraltilla,Somontano de Barbastro,Huesca
