name,district,province
Huesa del Común,Cuencas Mineras,Teruel
Jarque de la Val,Cuencas Mineras,Teruel
Josa,Cuencas Mineras,Teruel
Maicas,Cuencas Mineras,Teruel
Martín del Río,Cuencas Mineras,Teruel
Mezquita de Jarque,Cuencas Mineras,Teruel
Montalbán,Cuencas Mineras,Teruel
Muniesa,Cuencas Mineras,Teruel
Obón,Cuencas Mineras,Teruel
Palomar de Arroyos,Cuencas Mineras,Teruel
Plou,Cuencas Mineras,Teruel
Salcedillo,Cuencas Mineras,Teruel
Segura de los Baños,Cuencas Mineras,Teruel
Torre de las Arcas,Cuencas Mineras,Teruel
Utrillas,Cuencas Mineras,Teruel
Villanueva del Rebollar de la Sierra,Cuencas Mineras,Teruel
Vivel del Río Martín,Cuencas Mineras,Teruel
La Zoma,Cuencas Mineras,Teruel
Abejuela,Gúdar-Javalambre,Teruel
Albentosa,Gúdar-Javalambre,Teruel
Alcalá de la Selva,Gúdar-Javalambre,Teruel
Arcos de las Salinas,Gúdar-Javalambre,Teruel
Cabra de Mora,Gúdar-Javalambre,Teruel
Camarena de la Sierra,Gúdar-Javalambre,Teruel
El Castellar,Gúdar-Javalambre,Teruel
Formiche Alto,Gúdar-Javalambre,Teruel
Fuentes de Rubielos,Gúdar-Javalambre,Teruel
Gúdar,Gúdar-Javalambre,Teruel
Linares de Mora,Gúdar-Javalambre,Teruel
Manzanera,Gúdar-Javalambre,Teruel
Mora de Rubielos,Gúdar-Javalambre,Teruel
Mosqueruela,Gúdar-Javalambre,Teruel
Nogueruelas,Gúdar-Javalambre,Teruel
Olba,Gúdar-Javalambre,Teruel
La Puebla de Valverde,Gúdar-Javalambre,Teruel
Puertomingalvo,Gúdar-Javalambre,Teruel
Rubielos de Mora,Gúdar-Javalambre,Teruel
San Agustín,Gúdar-Javalambre,Teruel
Sarrión,Gúdar-Javalambre,Teruel
Torrijas,Gúdar-Javalambre,Teruel
Valbona,Gúdar-Javalambre,Teruel
Valdelinares,Gúdar-Javalambre,Teruel
Allueva,Jiloca,Teruel
Barrachina,Jiloca,Teruel
Bañón,Jiloca,Teruel
Bea,Jiloca,Teruel
Bello,Jiloca,Teruel
Blancas,Jiloca,Teruel
Bueña,Jiloca,Teruel
Burbáguena,Jiloca,Teruel
Bádenas,Jiloca,Teruel
Báguena,Jiloca,Teruel
Calamocha,Jiloca,Teruel
Caminreal,Jiloca,Teruel
Castejón de Tornos,Jiloca,Teruel
Cosa,Jiloca,Teruel
Cucalón,Jiloca,Teruel
Ferreruela de Huerva,Jiloca,Teruel
Fonfría,Jiloca,Teruel
Fuentes Claras,Jiloca,Teruel
Lagueruela,Jiloca,Teruel
Lanzuela,Jiloca,Teruel
Loscos,Jiloca,Teruel
Monforte de Moyuela,Jiloca,Teruel
Monreal del Campo,Jiloca,Teruel
Nogueras,Jiloca,Teruel
Odón,Jiloca,Teruel
Ojos Negros,Jiloca,Teruel
Peracense,Jiloca,Teruel
Pozuel del Campo,Jiloca,Teruel
Rubielos de la Cérida,Jiloca,Teruel
San Martín del Río,Jiloca,Teruel
Santa Cruz de Nogueras,Jiloca,Teruel
Singra,Jiloca,Teruel
Tornos,Jiloca,Teruel
Torralba de los Sisones,Jiloca,Teruel
Torre los Negros,Jiloca,Teruel
Torrecilla del Rebollar,Jiloca,Teruel
Torrijo del Campo,Jiloca,Teruel
Villafranca del Campo,Jiloca,Teruel
Villahermosa del Campo,Jiloca,Teruel
Villar del Salz,Jiloca,Teruel
Allepuz,Maestrazgo,Teruel
Bordón,Maestrazgo,Teruel
Cantavieja,Maestrazgo,Teruel
Castellote,Maestrazgo,Teruel
Cañada de Benatanduz,Maestrazgo,Teruel
La Cuba,Maestrazgo,Teruel
Fortanete,Maestrazgo,Teruel
La Iglesuela del Cid,Maestrazgo,Teruel
Mirambel,Maestrazgo,Teruel
Miravete de la Sierra,Maestrazgo,Teruel
Molinos,Maestrazgo,Teruel
Pitarque,Maestrazgo,Teruel
Tronchón,Maestrazgo,Teruel
Villarluengo,Maestrazgo,Teruel
Villarroya de los Pinares,Maestrazgo,Teruel
Arens de Lledó,Matarraña / Matarranya,Teruel
Beceite,Matarraña / Matarranya,Teruel
Calaceite,Matarraña / Matarranya,Teruel
Cretas,Matarraña / Matarranya,Teruel
La Fresneda,Matarraña / Matarranya,Teruel
Fuentespalda,Matarraña / Matarranya,Teruel
Fórnoles,Matarraña / Matarranya,Teruel
Lledó,Matarraña / Matarranya,Teruel
Mazaleón,Matarraña / Matarranya,Teruel
Monroyo,Matarraña / Matarranya,Teruel
Peñarroya de Tastavins,Matarraña / Matarranya,Teruel
La Portellada,Matarraña / Matarranya,Teruel
Ráfales,Matarraña / Matarranya,Teruel
Torre de Arcas,Matarraña / Matarranya,Teruel
Torre del Compte,Matarraña / Matarranya,Teruel
Valdeltormo,Matarraña / Matarranya,Teruel
Valderrobres,Matarraña / Matarranya,Teruel
Valjunquera,Matarraña / Matarranya,Teruel
Albarracín,Sierra de Albarracín,Teruel
Bezas,Sierra de Albarracín,Teruel
Bronchales,Sierra de Albarracín,Teruel
Calomarde,Sierra de Albarracín,Teruel
Frías de Albarracín,Sierra de Albarracín,Teruel
Gea de Albarracín,Sierra de Albarracín,Teruel
Griegos,Sierra de Albarracín,Teruel
Guadalaviar,Sierra de Albarracín,Teruel
Jabaloyas,Sierra de Albarracín,Teruel
Monterde de Albarracín,Sierra de Albarracín,Teruel
Moscardón,Sierra de Albarracín,Teruel
Noguera de Albarracín,Sierra de Albarracín,Teruel
Orihuela del Tremedal,Sierra de Albarracín,Teruel
Pozondón,Sierra de Albarracín,Teruel
Royuela,Sierra de Albarracín,Teruel
Rubiales,Sierra de Albarracín,Teruel
Ródenas,Sierra de Albarracín,Teruel
Saldón,Sierra de Albarracín,Teruel
Terriente,Sierra de Albarracín,Teruel
Toril y Masegoso,Sierra de Albarracín,Teruel
Torres de Albarracín,Sierra de Albarracín,Teruel
Tramacastilla,Sierra de Albarracín,Teruel
Valdecuenca,Sierra de Albarracín,Teruel
El Vallecillo,Sierra de Albarracín,Teruel
Villar del Cobo,Sierra de Albarracín,Teruel
